english	de	fr	ko	es	ru	el	zh-Hans	zh-Hant	it	pt-BR	ja	pl
A backup is saved first	Vorher wird gesichert	Une sauvegarde est faite d'abord	먼저 백업합니다	Primero se guarda una copia	Сначала сохраняется резервная копия	Αποθηκεύεται πρώτα αντίγραφο ασφαλείας	会先保存备份	會先儲存備份	Prima viene fatto un backup	Um backup é salvo primeiro	先にバックアップを保存します	Najpierw zapisywana jest kopia zapasowa
A confirmation prompt appeared — please confirm it to continue.	Eine Bestätigung ist aufgetaucht — bitte bestätigen, um fortzufahren.	Une demande de confirmation est apparue — confirmez pour continuer.	확인 창이 나타났습니다 — 계속하려면 확인하세요.	Apareció una confirmación — acéptala para continuar.	Появился запрос подтверждения — подтвердите, чтобы продолжить.	Εμφανίστηκε ερώτημα επιβεβαίωσης — επιβεβαιώστε το για να συνεχίσετε.	出现了确认提示 — 请确认后继续。	出現了確認提示 — 請確認後繼續。	È comparsa una richiesta di conferma — confermala per continuare.	Apareceu um pedido de confirmação — confirme para continuar.	確認ダイアログが表示されました — 続けるには確認してください。	Pojawił się monit o potwierdzenie — potwierdź, aby kontynuować.
A full reset backs up your settings first as well.	Auch ein Full Reset sichert vorher deine Einstellungen.	Une réinitialisation complète sauvegarde aussi tes réglages d'abord.	전체 초기화도 먼저 설정을 백업합니다.	Un restablecimiento completo también guarda antes tus ajustes.	Полный сброс тоже сначала сохраняет копию настроек.	Η πλήρης επαναφορά κρατά επίσης πρώτα αντίγραφο των ρυθμίσεών σας.	完整重置同样会先备份你的设置。	完整重設同樣會先備份你的設定。	Anche un reset completo salva prima le impostazioni.	Uma redefinição completa também salva suas configurações antes.	完全リセットでも先に設定をバックアップします。	Pełny reset również najpierw zapisuje kopię ustawień.
A helper from before the update is still running.	Ein Helper von vor dem Update läuft noch.	Un helper d'avant la mise à jour tourne encore.	업데이트 이전의 헬퍼가 아직 실행 중입니다.	Sigue activo un helper anterior a la actualización.	Помощник из версии до обновления всё ещё запущен.	Εκτελείται ακόμη ένας helper από πριν την ενημέρωση.	更新前的 helper 仍在运行。	更新前的 helper 仍在執行。	Un helper precedente all'aggiornamento è ancora attivo.	Um helper anterior à atualização ainda está em execução.	更新前のヘルパーがまだ動作しています。	Helper sprzed aktualizacji nadal działa.
A safety backup is saved first	Vorher wird ein Sicherungs-Backup angelegt	Une sauvegarde de sécurité est faite d'abord	먼저 안전 백업을 저장합니다	Antes se guarda una copia de seguridad	Сначала сохраняется страховочная копия	Αποθηκεύεται πρώτα εφεδρικό αντίγραφο	会先保存一份安全备份	會先儲存一份安全備份	Prima viene salvato un backup di sicurezza	Um backup de segurança é salvo primeiro	先に安全用バックアップを保存します	Najpierw zapisywana jest kopia bezpieczeństwa
A safety copy of your current settings is saved first, the Game Bar closes, the backup is written back, and the helper restarts. Reopen the Game Bar (Win+G) when it's done.	Zuerst wird der aktuelle Stand gesichert, dann schließt die Game Bar, das Backup wird zurückgeschrieben und der Helper startet neu. Danach die Game Bar mit Win+G wieder öffnen.	Une copie de vos réglages actuels est enregistrée, la Game Bar se ferme, le backup est réécrit et le helper redémarre. Rouvrez la Game Bar (Win+G) ensuite.	현재 설정을 먼저 백업하고 Game Bar를 닫은 뒤 백업을 되돌리고 헬퍼가 다시 시작합니다. 끝나면 Win+G로 Game Bar를 여세요.	Primero se guarda una copia de tus ajustes, se cierra la Game Bar, se escribe la copia y el helper se reinicia. Reabre la Game Bar (Win+G) al terminar.	Сначала сохраняется страховочная копия текущих настроек, Game Bar закрывается, резервная копия записывается обратно, и помощник перезапускается. Когда всё закончится, снова откройте Game Bar (Win+G).	Κρατιέται πρώτα εφεδρικό αντίγραφο των τρεχουσών ρυθμίσεων, κλείνει το Game Bar, γράφεται πίσω το αντίγραφο και επανεκκινεί ο helper. Ανοίξτε ξανά το Game Bar (Win+G) όταν τελειώσει.	先保存当前设置的副本，关闭 Game Bar，写回备份，然后重启 helper。完成后请重新打开 Game Bar (Win+G)。	先儲存目前設定的副本，關閉 Game Bar，寫回備份，然後重新啟動 helper。完成後請重新開啟 Game Bar (Win+G)。	Prima viene salvata una copia delle impostazioni attuali, la Game Bar si chiude, il backup viene ripristinato e l'helper si riavvia. Riapri la Game Bar (Win+G) quando ha finito.	Primeiro uma cópia de segurança das configurações atuais é salva, a Game Bar fecha, o backup é restaurado e o helper reinicia. Reabra a Game Bar (Win+G) quando terminar.	現在の設定の控えを先に保存し、Game Bar を閉じ、バックアップを書き戻して、ヘルパーを再起動します。完了したら Game Bar (Win+G) をもう一度開いてください。	Najpierw zapisywana jest kopia bezpieczeństwa bieżących ustawień, Game Bar się zamyka, kopia zapasowa jest przywracana, a helper uruchamia się ponownie. Po zakończeniu otwórz Game Bar (Win+G).
Achievements	Errungenschaften	Succès	도전 과제	Logros	Достижения	Επιτεύγματα	成就	成就	Obiettivi	Conquistas	実績	Osiągnięcia
Away (short)	Abw.	Abs.	자리비움	Aus.	Отош.	Απών	离开	離開	Ass.	Aus.	離席	Nieob.
Steam friends	Steam-Freunde	Amis Steam	Steam 친구	Amigos de Steam	Друзья Steam	Φίλοι Steam	Steam 好友	Steam 好友	Amici Steam	Amigos do Steam	Steam フレンド	Znajomi Steam
{0} of {1} online	{0} von {1} online	{0} sur {1} en ligne	{1}명 중 {0}명 온라인	{0} de {1} en línea	{0} из {1} в сети	{0} από {1} σε σύνδεση	{1} 人中 {0} 人在线	{1} 人中 {0} 人上線	{0} di {1} online	{0} de {1} online	{1} 人中 {0} 人がオンライン	{0} z {1} online
Steam is not running.	Steam läuft nicht.	Steam n'est pas lancé.	Steam이 실행 중이 아닙니다.	Steam no se está ejecutando.	Steam не запущен.	Το Steam δεν εκτελείται.	Steam 未运行。	Steam 未執行。	Steam non è in esecuzione.	O Steam não está em execução.	Steam が起動していません。	Steam nie jest uruchomiony.
No friends on this Steam account.	Keine Freunde in diesem Steam-Konto.	Aucun ami sur ce compte Steam.	이 Steam 계정에 친구가 없습니다.	No hay amigos en esta cuenta de Steam.	В этом аккаунте Steam нет друзей.	Κανένας φίλος σε αυτόν τον λογαριασμό Steam.	此 Steam 账号没有好友。	此 Steam 帳號沒有好友。	Nessun amico su questo account Steam.	Nenhum amigo nesta conta Steam.	この Steam アカウントにはフレンドがいません。	Brak znajomych na tym koncie Steam.
In game ({0})	Im Spiel ({0})	En jeu ({0})	게임 중 ({0})	Jugando ({0})	В игре ({0})	Σε παιχνίδι ({0})	游戏中 ({0})	遊戲中 ({0})	In gioco ({0})	Em jogo ({0})	ゲーム中 ({0})	W grze ({0})
In a non-Steam game	In einem Nicht-Steam-Spiel	Dans un jeu hors Steam	Steam 외 게임 중	En un juego fuera de Steam	В игре не из Steam	Σε παιχνίδι εκτός Steam	非 Steam 游戏中	非 Steam 遊戲中	In un gioco non Steam	Em um jogo fora do Steam	Steam 以外のゲーム中	W grze spoza Steam
Online	Online	En ligne	온라인	En línea	В сети	Σε σύνδεση	在线	線上	Online		オンライン	
Offline	Offline	Hors ligne	오프라인	Desconectado	Не в сети	Εκτός σύνδεσης	离线	離線	Offline		オフライン	
Away	Abwesend	Absent	자리 비움	Ausente	Отошёл	Απών	离开	離開	Assente	Ausente	離席中	Nieobecny
Busy	Beschäftigt	Occupé	바쁨	Ocupado	Занят	Απασχολημένος	忙碌	忙碌	Occupato	Ocupado	取込中	Zajęty
Chat	Chatten	Discuter	채팅	Chatear	Чат	Συνομιλία	聊天	聊天	Chat		チャット	Czat
Friend activity	Aktivitäten der Freunde	Activité des amis	친구 활동	Actividad de amigos	Активность друзей	Δραστηριότητα φίλων	好友动态	好友動態	Attività degli amici	Atividade dos amigos	フレンドの動向	Aktywność znajomych
No recent activity.	Keine Aktivitäten.	Aucune activité récente.	최근 활동이 없습니다.	No hay actividad reciente.	Недавней активности нет.	Καμία πρόσφατη δραστηριότητα.	最近没有动态。	最近沒有動態。	Nessuna attività recente.	Nenhuma atividade recente.	最近の動向はありません。	Brak ostatniej aktywności.
